"","wage","education","experience","age","ethnicity","region","gender","occupation","sector","union","married","experience2"
"150",6,13,7,26,"cauc","south","male","worker","manufacturing","no","yes",49
"151",4.62,6,33,45,"other","south","female","worker","manufacturing","no","no",1089
"152",10.58,14,25,45,"cauc","other","male","worker","manufacturing","no","yes",625
"153",5,12,5,23,"cauc","south","male","worker","other","no","yes",25
"154",8.2,14,17,37,"other","south","male","worker","other","no","no",289
"155",6.25,12,1,19,"cauc","south","male","worker","other","no","no",1
"156",8.5,12,13,31,"cauc","other","male","worker","manufacturing","no","yes",169
"157",24.98,16,18,40,"cauc","other","male","management","other","no","yes",324
"158",16.65,14,21,41,"cauc","south","male","management","other","no","yes",441
"159",6.25,14,2,22,"cauc","other","male","management","other","no","no",4
"160",4.55,12,4,22,"hispanic","south","female","management","other","no","no",16
"161",11.25,12,30,48,"hispanic","south","female","management","other","no","yes",900
"162",21.25,13,32,51,"cauc","other","male","management","other","no","no",1024
"163",12.65,17,13,36,"cauc","other","female","management","other","no","yes",169
"164",7.5,12,17,35,"cauc","other","male","management","other","no","no",289
"165",10.25,14,26,46,"cauc","other","female","management","other","no","yes",676
"166",3.35,16,9,31,"cauc","other","male","management","other","no","no",81
"167",13.45,16,8,30,"other","other","male","management","other","no","no",64
"168",4.84,15,1,22,"cauc","other","male","management","other","yes","yes",1
"169",26.29,17,32,55,"cauc","south","male","management","other","no","yes",1024
"170",6.58,12,24,42,"cauc","other","female","management","other","no","yes",576
"171",44.5,14,1,21,"cauc","other","female","management","other","no","no",1
"172",15,12,42,60,"cauc","other","male","management","manufacturing","no","yes",1764
"173",11.25,16,3,25,"other","other","female","management","manufacturing","no","no",9
"174",7,12,32,50,"cauc","other","female","management","other","no","yes",1024
"175",10,14,22,42,"other","other","male","management","other","no","no",484
"176",14.53,16,18,40,"cauc","other","male","management","other","no","yes",324
"177",20,18,19,43,"cauc","other","female","management","other","no","yes",361
"178",22.5,15,12,33,"cauc","other","male","management","other","no","yes",144
"179",3.64,12,42,60,"cauc","other","female","management","other","no","yes",1764
"180",10.62,12,34,52,"cauc","south","male","management","other","no","yes",1156
"181",24.98,18,29,53,"cauc","other","male","management","other","no","yes",841
"182",6,16,8,30,"cauc","south","male","management","other","no","no",64
"183",19,18,13,37,"cauc","other","male","management","manufacturing","no","no",169
"184",13.2,16,10,32,"cauc","other","male","management","other","no","no",100
"185",22.5,16,22,44,"cauc","other","male","management","other","no","yes",484
"186",15,16,10,32,"cauc","south","male","management","other","no","yes",100
"187",6.88,17,15,38,"cauc","other","female","management","other","no","yes",225
"188",11.84,12,26,44,"cauc","other","male","management","other","no","yes",676
"189",16.14,14,16,36,"cauc","other","male","management","other","no","no",256
"190",13.95,18,14,38,"cauc","other","female","management","other","no","yes",196
"191",13.16,12,38,56,"cauc","other","female","management","other","no","yes",1444
"192",5.3,12,14,32,"other","south","male","management","other","no","yes",196
"193",4.5,12,7,25,"cauc","other","female","management","other","no","yes",49
"194",10,18,13,37,"cauc","south","female","management","other","no","no",169
"195",10,10,20,36,"cauc","other","male","management","other","no","yes",400
"196",10,16,7,29,"hispanic","other","male","management","other","yes","yes",49
"197",9.37,16,26,48,"cauc","other","female","management","other","no","yes",676
"198",5.8,16,14,36,"cauc","other","male","management","other","no","yes",196
"199",17.86,13,36,55,"cauc","other","male","management","other","no","no",1296
"200",1,12,24,42,"cauc","other","male","management","other","no","yes",576
"201",8.8,14,41,61,"cauc","south","male","management","other","no","yes",1681
"202",9,16,7,29,"other","other","male","management","other","no","yes",49
"203",18.16,17,14,37,"cauc","south","male","management","other","no","no",196
"204",7.81,12,1,19,"cauc","south","female","management","other","no","no",1
"205",10.62,16,6,28,"cauc","other","female","management","manufacturing","no","yes",36
"206",4.5,12,3,21,"cauc","other","female","management","other","no","yes",9
"207",17.25,15,31,52,"cauc","other","male","management","other","no","yes",961
"208",10.5,13,14,33,"cauc","other","female","management","manufacturing","no","yes",196
"209",9.22,14,13,33,"cauc","other","female","management","other","no","yes",169
"210",15,16,26,48,"other","other","male","management","manufacturing","yes","yes",676
"211",22.5,18,14,38,"cauc","other","male","management","other","no","yes",196
"212",4.55,13,33,52,"cauc","other","female","sales","other","no","yes",1089
"213",9,12,16,34,"cauc","other","male","sales","other","no","yes",256
"214",13.33,18,10,34,"cauc","other","male","sales","other","no","yes",100
"215",15,14,22,42,"cauc","other","male","sales","other","no","no",484
"216",7.5,14,2,22,"cauc","other","male","sales","other","no","no",4
"217",4.25,12,29,47,"cauc","south","female","sales","other","no","yes",841
"218",12.5,12,43,61,"cauc","other","male","sales","manufacturing","no","yes",1849
"219",5.13,12,5,23,"cauc","other","female","sales","other","no","yes",25
"220",3.35,16,14,36,"other","south","female","sales","other","no","yes",196
"221",11.11,12,28,46,"cauc","south","male","sales","other","no","yes",784
"222",3.84,11,25,42,"other","south","female","sales","other","no","yes",625
"223",6.4,12,45,63,"cauc","other","female","sales","other","no","yes",2025
"224",5.56,14,5,25,"cauc","south","male","sales","other","no","no",25
"225",10,12,20,38,"cauc","south","male","sales","manufacturing","no","yes",400
"226",5.65,16,6,28,"cauc","other","female","sales","other","no","yes",36
"227",11.5,16,16,38,"cauc","other","male","sales","other","no","yes",256
"228",3.5,11,33,50,"cauc","other","female","sales","other","no","yes",1089
"229",3.35,13,2,21,"cauc","south","female","sales","other","no","yes",4
"230",4.75,12,10,28,"cauc","south","female","sales","other","no","no",100
"231",19.98,14,44,64,"cauc","south","male","sales","other","no","yes",1936
"232",3.5,14,6,26,"cauc","south","female","sales","other","no","yes",36
"233",4,12,15,33,"cauc","other","female","sales","other","no","no",225
"234",7,12,5,23,"cauc","other","male","sales","other","no","yes",25
"235",6.25,13,4,23,"cauc","other","female","sales","manufacturing","no","yes",16
"236",4.5,14,14,34,"cauc","other","male","sales","other","no","yes",196
"237",14.29,14,32,52,"cauc","other","female","sales","other","no","yes",1024
"238",5,12,14,32,"cauc","other","female","sales","other","no","yes",196
"239",13.75,14,21,41,"cauc","other","male","sales","other","no","yes",441
"240",13.71,12,43,61,"cauc","other","male","sales","other","yes","yes",1849
"241",7.5,12,27,45,"other","south","female","sales","other","no","yes",729
"242",3.8,12,4,22,"cauc","other","female","sales","other","no","no",16
"243",5,14,0,20,"hispanic","other","male","sales","other","no","no",0
"244",9.42,12,32,50,"cauc","south","male","sales","other","no","yes",1024
"245",5.5,12,20,38,"cauc","other","male","sales","other","no","yes",400
"246",3.75,15,4,25,"cauc","south","male","sales","other","no","no",16
"247",3.5,12,34,52,"cauc","other","male","sales","other","no","yes",1156
"248",5.8,13,5,24,"cauc","other","male","sales","other","no","no",25
"249",12,17,13,36,"cauc","other","male","sales","manufacturing","no","yes",169
"250",5,14,17,37,"hispanic","other","female","office","other","no","yes",289
"251",8.75,13,10,29,"cauc","south","female","office","other","no","yes",100
"252",10,16,7,29,"cauc","other","female","office","other","no","yes",49
"253",8.5,12,25,43,"cauc","other","female","office","other","no","no",625
"254",8.63,12,18,36,"other","other","female","office","other","no","yes",324
"255",9,16,27,49,"cauc","other","female","office","manufacturing","no","yes",729
"256",5.5,16,2,24,"cauc","other","female","office","other","no","no",4
"257",11.11,13,13,32,"cauc","other","male","office","other","no","yes",169
"258",10,14,24,44,"cauc","other","female","office","other","no","no",576
"259",5.2,18,13,37,"hispanic","south","female","office","other","no","yes",169
"260",8,14,15,35,"cauc","other","female","office","other","yes","no",225
"261",3.56,12,12,30,"hispanic","south","female","office","other","no","no",144
"262",5.2,12,24,42,"cauc","other","female","office","other","no","yes",576
"263",11.67,12,43,61,"cauc","other","female","office","construction","no","yes",1849
"264",11.32,12,13,31,"cauc","other","female","office","manufacturing","no","yes",169
"265",7.5,12,16,34,"cauc","south","female","office","other","no","yes",256
"266",5.5,11,24,41,"cauc","other","female","office","other","no","yes",576
"267",5,16,4,26,"cauc","south","female","office","other","no","yes",16
"268",7.75,12,24,42,"cauc","other","female","office","other","no","yes",576
"269",5.25,12,45,63,"cauc","other","female","office","other","no","yes",2025
"270",9,12,20,38,"cauc","other","male","office","other","yes","yes",400
"271",9.65,12,38,56,"cauc","other","female","office","other","no","yes",1444
"272",5.21,18,10,34,"cauc","south","male","office","other","no","yes",100
"273",7,11,16,33,"other","other","female","office","other","no","yes",256
"274",12.16,12,32,50,"other","south","female","office","other","no","yes",1024
"275",5.25,16,2,24,"cauc","south","female","office","other","no","no",4
"276",10.32,13,28,47,"cauc","south","female","office","other","no","no",784
"277",3.35,16,3,25,"other","other","male","office","other","no","no",9
"278",7.7,13,8,27,"cauc","other","female","office","other","yes","no",64
"279",9.17,12,44,62,"cauc","other","female","office","manufacturing","no","yes",1936
"280",8.43,12,12,30,"cauc","south","male","office","other","no","yes",144
"281",4,12,8,26,"other","south","male","office","other","no","yes",64
"282",4.13,12,4,22,"cauc","other","female","office","other","no","yes",16
"283",3,12,28,46,"cauc","south","female","office","other","no","yes",784
"284",4.25,13,0,19,"cauc","south","female","office","other","no","no",0
"285",7.53,14,1,21,"cauc","south","male","office","other","no","no",1
"286",10.53,14,12,32,"cauc","other","female","office","manufacturing","no","yes",144
"287",5,12,39,57,"cauc","other","female","office","other","no","yes",1521
"288",15.03,12,24,42,"cauc","other","female","office","other","no","yes",576
"289",11.25,17,32,55,"other","other","female","office","other","no","yes",1024
"290",6.25,16,4,26,"other","other","male","office","other","no","no",16
"291",3.5,12,25,43,"other","other","female","office","other","no","no",625
"292",6.85,12,8,26,"other","other","male","office","other","no","no",64
"293",12.5,13,16,35,"cauc","other","female","office","other","no","yes",256
"294",12,12,5,23,"cauc","south","male","office","other","no","no",25
"295",6,13,31,50,"cauc","other","male","office","other","no","no",961
"296",9.5,12,25,43,"cauc","other","female","office","other","no","no",625
"297",4.1,12,15,33,"cauc","other","female","office","other","no","yes",225
"298",10.43,14,15,35,"cauc","south","female","office","other","no","yes",225
"299",5,12,0,18,"cauc","other","female","office","other","no","no",0
"300",7.69,12,19,37,"cauc","other","male","office","other","no","yes",361
"301",5.5,12,21,39,"other","other","female","office","other","no","no",441
"302",6.4,12,6,24,"cauc","other","female","office","other","no","no",36
"303",12.5,12,14,32,"cauc","other","female","office","other","yes","yes",196
"304",6.25,13,30,49,"cauc","other","female","office","other","no","yes",900
"305",8,12,8,26,"cauc","other","female","office","other","no","no",64
"306",9.6,9,33,48,"cauc","other","male","office","other","yes","no",1089
"307",9.1,13,16,35,"hispanic","other","male","office","other","no","no",256
"308",7.5,12,20,38,"cauc","south","female","office","other","no","no",400
"309",5,13,6,25,"cauc","south","female","office","other","no","yes",36
"310",7,12,10,28,"cauc","other","female","office","other","yes","yes",100
"311",3.55,13,1,20,"cauc","south","female","office","other","no","no",1
"312",8.5,12,2,20,"other","south","male","office","other","no","no",4
"313",4.5,13,0,19,"cauc","south","female","office","other","no","no",0
"314",7.88,16,17,39,"other","other","male","office","other","no","yes",289
"315",5.25,12,8,26,"cauc","other","female","office","other","no","no",64
"316",5,12,4,22,"cauc","south","male","office","other","no","no",16
"317",9.33,12,15,33,"cauc","other","female","office","other","no","no",225
"318",10.5,12,29,47,"cauc","other","female","office","other","no","yes",841
"319",7.5,12,23,41,"other","south","female","office","other","no","yes",529
"320",9.5,12,39,57,"cauc","south","female","office","other","no","yes",1521
"321",9.6,12,14,32,"cauc","south","female","office","other","no","yes",196
"322",5.87,17,6,29,"other","south","female","office","other","no","no",36
"323",11.02,14,12,32,"cauc","south","male","office","other","yes","yes",144
"324",5,12,26,44,"cauc","south","female","office","other","no","no",676
"325",5.62,14,32,52,"cauc","other","female","office","other","no","yes",1024
"326",12.5,15,6,27,"cauc","other","female","office","other","no","yes",36
"327",10.81,12,40,58,"cauc","other","female","office","other","no","yes",1600
"328",5.4,12,18,36,"cauc","other","female","office","manufacturing","no","yes",324
"329",7,11,12,29,"cauc","other","female","office","other","no","no",144
"330",4.59,12,36,54,"cauc","south","female","office","construction","no","yes",1296
"331",6,12,19,37,"cauc","other","female","office","other","no","yes",361
"332",11.71,16,42,64,"cauc","other","female","office","manufacturing","no","no",1764
"333",5.62,13,2,21,"hispanic","other","female","office","other","no","yes",4
"334",5.5,12,33,51,"cauc","other","female","office","other","no","yes",1089
"335",4.85,12,14,32,"cauc","south","female","office","other","no","yes",196
"336",6.75,12,22,40,"cauc","other","male","office","other","no","no",484
"337",4.25,12,20,38,"cauc","other","female","office","other","no","yes",400
"338",5.75,12,15,33,"cauc","other","female","office","other","no","yes",225
"339",3.5,12,35,53,"cauc","other","male","office","other","no","yes",1225
"340",3.35,12,7,25,"cauc","other","female","office","other","no","yes",49
"341",10.62,12,45,63,"cauc","other","female","office","manufacturing","no","no",2025
"342",8,12,9,27,"cauc","other","female","office","other","no","no",81
"343",4.75,12,2,20,"cauc","south","female","office","other","no","yes",4
"344",8.5,17,3,26,"cauc","south","male","office","other","no","no",9
"345",8.85,14,19,39,"other","other","female","office","other","yes","yes",361
"346",8,12,14,32,"cauc","south","female","office","other","no","yes",196
"347",6,4,54,64,"cauc","other","male","services","other","no","yes",2916
"348",7.14,14,17,37,"cauc","other","male","services","other","no","yes",289
"349",3.4,8,29,43,"other","other","female","services","other","no","yes",841
"350",6,15,26,47,"cauc","south","female","services","other","no","no",676
"351",3.75,2,16,24,"hispanic","other","male","services","other","no","no",256
"352",8.89,8,29,43,"other","other","female","services","other","no","no",841
"353",4.35,11,20,37,"cauc","other","female","services","other","no","yes",400
"354",13.1,10,38,54,"other","south","female","services","other","no","yes",1444
"355",4.35,8,37,51,"other","south","female","services","other","no","yes",1369
"356",3.5,9,48,63,"cauc","other","male","services","other","no","no",2304
"357",3.8,12,16,34,"cauc","other","female","services","other","no","no",256
"358",5.26,8,38,52,"cauc","other","female","services","other","no","yes",1444
"359",3.35,14,0,20,"other","other","male","services","other","no","no",0
"360",16.26,12,14,32,"other","other","male","services","other","yes","no",196
"361",4.25,12,2,20,"cauc","other","female","services","other","no","yes",4
"362",4.5,16,21,43,"cauc","other","male","services","other","no","yes",441
"363",8,13,15,34,"cauc","other","female","services","other","no","yes",225
"364",4,16,20,42,"cauc","other","female","services","other","no","no",400
"365",7.96,14,12,32,"cauc","other","female","services","other","no","yes",144
"366",4,12,7,25,"hispanic","south","male","services","other","no","no",49
"367",4.15,11,4,21,"cauc","other","male","services","other","no","yes",16
"368",5.95,13,9,28,"cauc","south","male","services","other","no","yes",81
"369",3.6,12,43,61,"hispanic","south","female","services","other","no","yes",1849
"370",8.75,10,19,35,"cauc","south","male","services","other","no","no",361
"371",3.4,8,49,63,"cauc","other","female","services","other","no","no",2401
"372",4.28,12,38,56,"cauc","other","female","services","other","no","yes",1444
"373",5.35,12,13,31,"cauc","other","female","services","other","no","yes",169
"374",5,12,14,32,"cauc","other","female","services","other","no","yes",196
"375",7.65,12,20,38,"cauc","other","male","services","other","no","no",400
"376",6.94,12,7,25,"cauc","other","female","services","other","no","no",49
"377",7.5,12,9,27,"cauc","other","female","services","manufacturing","yes","yes",81
"378",3.6,12,6,24,"cauc","other","female","services","other","no","no",36
"379",1.75,12,5,23,"cauc","south","female","services","other","no","yes",25
"380",3.45,13,1,20,"other","south","female","services","other","no","no",1
"381",9.63,14,22,42,"cauc","other","male","services","other","yes","yes",484
"382",8.49,12,24,42,"cauc","other","female","services","other","no","yes",576
"383",8.99,12,15,33,"cauc","other","female","services","other","yes","no",225
"384",3.65,11,8,25,"cauc","south","female","services","other","no","yes",64
"385",3.5,11,17,34,"cauc","south","female","services","other","no","yes",289
"386",3.43,12,2,20,"other","south","male","services","other","no","no",4
"387",5.5,12,20,38,"cauc","south","male","services","other","no","yes",400
"388",6.93,12,26,44,"cauc","other","male","services","other","yes","yes",676
"389",3.51,10,37,53,"other","south","female","services","other","no","yes",1369
"390",3.75,12,41,59,"cauc","other","female","services","other","no","no",1681
"391",4.17,12,27,45,"cauc","other","female","services","other","no","yes",729
"392",9.57,12,5,23,"cauc","other","female","services","other","yes","yes",25
"393",14.67,14,16,36,"other","other","male","services","other","no","yes",256
"394",12.5,14,19,39,"cauc","other","female","services","other","no","yes",361
"395",5.5,12,10,28,"cauc","other","male","services","other","no","yes",100
"396",5.15,13,1,20,"cauc","south","male","services","other","yes","no",1
"397",8,12,43,61,"other","other","female","services","other","yes","yes",1849
"398",5.83,13,3,22,"other","other","male","services","other","no","no",9
"399",3.35,12,0,18,"cauc","other","female","services","other","no","no",0
"400",7,12,26,44,"cauc","south","female","services","other","no","yes",676
"401",10,10,25,41,"cauc","other","female","services","other","yes","yes",625
"402",8,12,15,33,"cauc","other","female","services","other","no","yes",225
"403",6.88,14,10,30,"cauc","south","female","services","other","no","no",100
"404",5.55,11,45,62,"cauc","other","female","services","other","yes","no",2025
"405",7.5,11,3,20,"other","other","male","services","other","no","no",9
"406",8.93,8,47,61,"hispanic","other","male","services","other","yes","yes",2209
"407",9,16,6,28,"other","other","female","services","other","no","yes",36
"408",3.5,10,33,49,"cauc","south","female","services","other","no","no",1089
"409",5.77,16,3,25,"cauc","other","male","services","manufacturing","no","no",9
"410",25,14,4,24,"hispanic","other","male","services","other","yes","no",16
"411",6.85,14,34,54,"other","other","male","services","other","yes","yes",1156
"412",6.5,11,39,56,"cauc","south","male","services","other","no","yes",1521
"413",3.75,12,17,35,"cauc","south","female","services","other","no","yes",289
